type,davis-vision-standard copay,davis-vision-standard limit,davis-vision-premium copay,davis-vision-premium limit
EYE_EXAMINATION,10,null,5,null
OPTOS_EYE_EXAMINATION,10,null,5,null
SPECTACLE_LENSES,20,null,0,null
FRAMES,0,180,0,200
SINGLE_VISION_LENSES,0,null,0,null
LINED_BIFOCAL_LENSES,0,null,0,null
TRIFOCAL_LENSES,0,null,0,null
GRADIENT_TINT,0,null,0,null
SOLID_TINT,0,null,0,null
SCRATCH_RESISTANT_COATING,0,null,0,null
POLYCARBONATE_LENSES,30,null,0,null
ULTRAVIOLET_COATING,12,null,0,null
INTERMEDIATE_VISION_LENSES,30,null,0,null
STANDARD_ANTI_REFLECTIVE_COATING,35,null,35,null
PREMIUM_ANTI_REFLECTIVE_COATING,48,null,48,null
ULTRA_ANTI_REFLECTIVE_COATING,60,null,60,null
STANDARD_PROGRESSIVE_LENSES,50,null,0,null
PREMIUM_PROGRESSIVES_LENSES,90,null,40,null
ULTRA_PROGRESSIVES_LENSES,140,null,90,null
HIGH_INDEX_LENSES,55,null,55,null
POLARIZED_LENSES,75,null,75,null
PLASTIC_PHOTOSENSITIVE_LENSES,65,null,65,null
SCRATCH_PROTECTION_PLAN_SINGLE_VISION,20,null,20,null
SCRATCH_PROTECTION_PLAN_MULTIFOCAL,40,null,40,null
